iter	Logloss
0	0.6879373851
1	0.682874663
2	0.6787905281
3	0.6748990864
4	0.6708782921
5	0.6672552863
6	0.6635963252
7	0.6600750164
8	0.6574174802
9	0.6546630382
10	0.6522663112
11	0.6496875971
12	0.6473423758
13	0.6451420468
14	0.6430627015
15	0.6410814228
16	0.6392488894
17	0.6374217885
18	0.6359065362
19	0.6342943515
20	0.6329706847
21	0.631505629
22	0.6300678154
23	0.6287092532
24	0.6275930454
25	0.6265555591
26	0.625425301
27	0.6243858218
28	0.6232206577
29	0.6222881544
30	0.6213759554
31	0.6204340392
32	0.6195557287
33	0.6186429998
34	0.6177571632
35	0.6168814338
36	0.6162317719
37	0.6154400904
38	0.6147729437
39	0.6141904862
40	0.6133840759
41	0.6128337419
42	0.6121639823
43	0.6114415192
44	0.6107735033
45	0.6102024885
46	0.6096787766
47	0.609128962
48	0.6084520314
49	0.6080200047
50	0.6075362338
51	0.6070458431
52	0.6065594699
53	0.6061348049
54	0.6056974251
55	0.6052256588
56	0.6048427527
57	0.6043322008
58	0.6039956594
59	0.6035160861
60	0.6031563094
61	0.6027871834
62	0.6024520625
63	0.6020441933
64	0.6016224539
65	0.6012133075
66	0.6009096316
67	0.6005618436
68	0.6002702465
69	0.599882528
70	0.599535906
71	0.5992100707
72	0.5989152193
73	0.5985701873
74	0.5981782712
75	0.5978076825
76	0.5975076053
77	0.5971907377
78	0.5969488655
79	0.5966791363
80	0.5963875286
81	0.596093414
82	0.5957700962
83	0.5955140305
84	0.5951709436
85	0.594868174
86	0.5945768737
87	0.594345644
88	0.5940212291
89	0.5937172352
90	0.5934264702
91	0.5931511866
92	0.5929082067
93	0.5926664564
94	0.5922768988
95	0.5919708379
96	0.5917579039
97	0.5914691317
98	0.5912510195
99	0.5910200124
100	0.5907832812
101	0.5905206382
102	0.5903427903
103	0.5901007538
104	0.5898536293
105	0.5896712923
106	0.5894889341
107	0.5892714686
108	0.5890196058
109	0.588817187
110	0.5885992974
111	0.5884038906
112	0.5881097548
113	0.5878830937
114	0.5876753271
115	0.5874589057
116	0.5872790862
117	0.5870629033
118	0.5868069701
119	0.5866552143
120	0.5864559278
121	0.5862091319
122	0.5860243039
123	0.585839619
124	0.5856366172
125	0.5853831274
126	0.585159694
127	0.5850135138
128	0.584863931
129	0.5846665367
130	0.5844916993
131	0.584302308
132	0.5841254724
133	0.5839956429
134	0.5838064265
135	0.583608094
136	0.5834482769
137	0.5832642333
138	0.583131123
139	0.582944387
140	0.5827873524
141	0.582612038
142	0.5824007947
143	0.582196399
144	0.5819556875
145	0.5817672555
146	0.5815501238
147	0.5813025858
148	0.5810999127
149	0.5809169609
150	0.5807461939
151	0.580593712
152	0.5804212596
153	0.5802363362
154	0.5800896738
155	0.5799693737
156	0.5798238666
157	0.5796994272
158	0.5795226712
159	0.5793726379
160	0.5792134992
161	0.5790456207
162	0.5789006383
163	0.5787499054
164	0.5785909787
165	0.5784147792
166	0.5782437366
167	0.578070574
168	0.5779136931
169	0.5777687955
170	0.5775805967
171	0.5774444018
172	0.5773103534
173	0.5770978116
174	0.5769090457
175	0.5767364025
176	0.5765530161
177	0.5763619871
178	0.5762016877
179	0.5760576275
180	0.5758174937
181	0.5757003577
182	0.5755707879
183	0.5754290439
184	0.5753134926
185	0.5751439552
186	0.5749767657
187	0.5748290751
188	0.5746914227
189	0.5745453379
190	0.5744304279
191	0.5743279571
192	0.5741717228
193	0.5740344414
194	0.5739159698
195	0.5738221381
196	0.5736635294
197	0.5735510574
198	0.5734030964
199	0.5732949493
200	0.5731671073
201	0.5729939447
202	0.5728515487
203	0.5727494701
204	0.5725693221
205	0.5724494937
206	0.5723035308
207	0.572116657
208	0.5719937281
209	0.5718280279
210	0.5716828336
211	0.5715864631
212	0.5714557538
213	0.5713179424
214	0.5711544788
215	0.5710284918
216	0.5709413752
217	0.5707807206
218	0.5706599965
219	0.5705147757
220	0.5703790207
221	0.5702752302
222	0.5701298927
223	0.5699953196
224	0.5698008191
225	0.5696414684
226	0.5694753972
227	0.5693687076
228	0.569185353
229	0.5689886
230	0.5689074459
231	0.5687759998
232	0.5686010193
233	0.5684625454
234	0.5683102702
235	0.5681704766
236	0.568007437
237	0.5678436608
238	0.5676058961
239	0.5674708619
240	0.5673170126
241	0.5671401453
242	0.5669718004
243	0.5668012136
244	0.5666864626
245	0.5665229302
246	0.5663886274
247	0.5662429242
248	0.5660956629
249	0.5659330526
250	0.5657678931
251	0.565682817
252	0.5655423132
253	0.5653991222
254	0.5652086762
255	0.5650786665
256	0.5649482645
257	0.5647902653
258	0.564662296
259	0.5644874586
260	0.5643304399
261	0.5641921409
262	0.5640596348
263	0.563925014
264	0.5637863758
265	0.5635911386
266	0.5633959702
267	0.5632863285
268	0.56308418
269	0.5628610328
270	0.5627012369
271	0.5625062381
272	0.5623628405
273	0.5622368535
274	0.5621141948
275	0.5618945722
276	0.5617629141
277	0.5616140521
278	0.5614705379
279	0.5612567664
280	0.5611089751
281	0.5609962646
282	0.5608367337
283	0.5607026005
284	0.5605695326
285	0.560433078
286	0.560283914
287	0.560119189
288	0.5599449876
289	0.5597763883
290	0.5596535177
291	0.5594207191
292	0.5592536781
293	0.5591083194
294	0.5589068122
295	0.5587253869
296	0.5585556375
297	0.5584200892
298	0.558272531
299	0.5581216603
300	0.5579558754
301	0.5577724201
302	0.5576013033
303	0.557330053
304	0.557158756
305	0.5569740711
306	0.5568495522
307	0.5566809635
308	0.5565055007
309	0.5563049634
310	0.5561350073
311	0.5559582142
312	0.5558149385
313	0.5556635961
314	0.5554756252
315	0.555365162
316	0.5552351999
317	0.5550599703
318	0.5549278352
319	0.5547906439
320	0.5546301378
321	0.5544802317
322	0.5543358217
323	0.554192069
324	0.5540225634
325	0.5538146644
326	0.5537143295
327	0.5535233588
328	0.5533657995
329	0.5532511916
330	0.5530937701
331	0.5529689597
332	0.5527966928
333	0.5526376918
334	0.5524761098
335	0.5523484956
336	0.5521906925
337	0.5519933936
338	0.551846005
339	0.5516606099
340	0.5515264343
341	0.5513302113
342	0.5511640818
343	0.5510348035
344	0.5508201151
345	0.5506616442
346	0.5504370607
347	0.5502828351
348	0.5501330668
349	0.5499249293
350	0.549722007
351	0.5495796111
352	0.5494298216
353	0.5493211816
354	0.54920695
355	0.5490286358
356	0.5488934744
357	0.5487344364
358	0.54858161
359	0.5484139912
360	0.5482557959
361	0.5480688585
362	0.547905379
