iter	Passed	Remaining
0	12	12219
1	21	10573
2	32	10646
3	41	10339
4	50	9984
5	58	9614
6	68	9717
7	79	9902
8	89	9829
9	99	9892
10	110	9919
11	117	9692
12	127	9705
13	138	9743
14	148	9781
15	159	9838
16	169	9809
17	178	9717
18	188	9751
19	195	9594
20	205	9570
21	212	9464
22	221	9414
23	229	9327
24	237	9254
25	247	9264
26	253	9146
27	262	9115
28	270	9061
29	280	9074
30	293	9162
31	301	9123
32	308	9033
33	316	8980
34	326	9010
35	334	8957
36	340	8849
37	346	8780
38	352	8694
39	359	8616
40	367	8593
41	375	8560
42	382	8522
43	393	8547
44	400	8507
45	409	8483
46	420	8517
47	428	8505
48	437	8493
49	443	8435
50	451	8404
51	459	8378
52	470	8402
53	480	8411
54	487	8369
55	496	8361
56	506	8372
57	515	8375
58	527	8410
59	537	8416
60	548	8445
61	558	8455
62	565	8414
63	576	8433
64	587	8454
65	599	8483
66	609	8493
67	621	8514
68	630	8505
69	641	8521
70	651	8525
71	663	8545
72	674	8560
73	686	8592
74	699	8624
75	708	8608
76	719	8624
77	729	8627
78	741	8645
79	752	8656
80	763	8659
81	771	8632
82	782	8648
83	794	8667
84	806	8676
85	815	8665
86	826	8672
87	836	8674
88	848	8690
89	855	8650
90	867	8660
91	877	8656
92	887	8653
93	898	8664
94	907	8642
95	918	8645
96	928	8640
97	938	8640
98	950	8650
99	959	8632
100	969	8631
101	979	8624
102	988	8612
103	998	8602
104	1008	8594
105	1016	8573
106	1026	8564
107	1032	8527
108	1042	8525
109	1050	8498
110	1060	8489
111	1068	8475
112	1077	8456
113	1086	8441
114	1094	8422
115	1103	8412
116	1110	8379
117	1119	8364
118	1127	8345
119	1136	8336
120	1146	8327
121	1154	8308
122	1161	8281
123	1168	8256
124	1177	8240
125	1186	8229
126	1191	8192
127	1195	8147
128	1204	8130
129	1212	8117
130	1220	8098
131	1228	8080
132	1238	8073
133	1247	8060
134	1256	8052
135	1265	8039
136	1273	8022
137	1282	8010
138	1289	7987
139	1298	7975
140	1307	7963
141	1315	7951
142	1327	7956
143	1336	7947
144	1346	7938
145	1355	7931
146	1363	7913
147	1372	7898
148	1379	7879
149	1387	7861
150	1392	7831
151	1400	7811
152	1410	7807
153	1417	7788
154	1423	7760
155	1433	7756
156	1442	7744
157	1452	7738
158	1461	7728
159	1471	7726
160	1480	7714
161	1489	7704
162	1499	7699
163	1505	7676
164	1515	7667
165	1523	7652
166	1532	7642
167	1542	7638
168	1547	7611
169	1556	7600
170	1565	7590
171	1574	7577
172	1582	7564
173	1590	7550
174	1599	7538
175	1607	7527
176	1613	7504
177	1622	7494
178	1631	7480
179	1639	7470
180	1647	7452
181	1655	7442
182	1664	7428
183	1673	7419
184	1681	7405
185	1691	7402
186	1700	7392
187	1710	7386
188	1718	7373
189	1727	7366
190	1737	7357
191	1741	7329
192	1753	7331
193	1764	7330
194	1774	7323
195	1782	7310
196	1791	7301
197	1797	7282
198	1806	7273
199	1815	7260
200	1823	7249
201	1829	7227
202	1838	7217
203	1843	7193
204	1850	7176
205	1859	7166
206	1868	7157
207	1877	7149
208	1884	7130
209	1892	7118
210	1901	7109
211	1909	7098
212	1918	7088
213	1926	7076
214	1936	7069
215	1944	7058
216	1954	7051
217	1963	7044
218	1970	7025
219	1975	7005
220	1981	6985
221	1990	6976
222	1996	6958
223	2005	6948
224	2015	6941
225	2021	6924
226	2030	6914
227	2035	6891
228	2043	6878
229	2051	6869
230	2064	6873
231	2073	6864
232	2082	6856
233	2090	6843
234	2097	6828
235	2105	6817
236	2114	6808
237	2123	6798
238	2132	6789
239	2140	6777
240	2149	6770
241	2155	6751
242	2165	6745
243	2173	6735
244	2182	6727
245	2191	6715
246	2199	6706
247	2208	6695
248	2213	6675
249	2222	6668
250	2231	6660
251	2239	6646
252	2248	6638
253	2256	6626
254	2265	6617
255	2273	6607
256	2282	6598
257	2291	6590
258	2300	6580
259	2308	6571
260	2319	6566
261	2328	6559
262	2337	6549
263	2346	6541
264	2355	6531
265	2364	6524
266	2375	6520
267	2383	6510
268	2392	6501
269	2400	6491
270	2410	6483
271	2418	6472
272	2427	6463
273	2435	6452
274	2444	6444
275	2453	6436
276	2462	6427
277	2472	6421
278	2482	6414
279	2491	6407
280	2499	6396
281	2508	6387
282	2518	6379
283	2527	6372
284	2536	6364
285	2545	6355
286	2554	6346
287	2562	6336
288	2572	6327
289	2580	6317
290	2589	6309
291	2598	6299
292	2606	6289
293	2614	6278
294	2623	6269
295	2631	6259
296	2640	6249
297	2649	6240
298	2657	6230
299	2667	6223
300	2677	6218
301	2687	6210
302	2695	6200
303	2704	6191
304	2712	6180
305	2722	6173
306	2730	6164
307	2739	6155
308	2748	6147
309	2758	6140
310	2768	6132
311	2778	6126
312	2789	6123
313	2799	6115
314	2807	6105
315	2815	6095
316	2824	6084
317	2833	6075
318	2841	6065
319	2850	6057
320	2858	6047
321	2867	6038
322	2875	6027
323	2885	6021
324	2895	6012
325	2904	6005
326	2913	5997
327	2921	5986
328	2931	5977
329	2940	5969
330	2949	5960
331	2957	5950
332	2966	5942
333	2975	5932
334	2983	5923
335	2992	5914
336	3002	5906
337	3010	5897
338	3019	5887
339	3028	5878
340	3036	5868
341	3045	5858
342	3053	5848
343	3062	5839
344	3070	5828
345	3079	5820
346	3087	5810
347	3097	5803
348	3106	5794
349	3115	5785
350	3123	5776
351	3132	5766
352	3141	5758
353	3149	5747
354	3158	5739
355	3166	5728
356	3176	5720
357	3185	5713
358	3195	5706
359	3205	5698
360	3213	5689
361	3222	5679
362	3232	5673
363	3242	5665
364	3250	5655
365	3260	5647
366	3268	5636
367	3276	5627
368	3285	5617
369	3293	5608
370	3302	5598
371	3312	5592
372	3323	5585
373	3331	5576
374	3340	5567
375	3348	5557
376	3357	5548
377	3365	5538
378	3376	5532
379	3385	5523
380	3397	5519
381	3407	5512
382	3416	5503
383	3425	5494
384	3433	5485
385	3442	5475
386	3450	5465
387	3459	5456
388	3468	5447
389	3478	5440
390	3491	5438
391	3500	5429
392	3508	5419
393	3519	5413
394	3527	5403
395	3536	5394
396	3544	5383
397	3553	5375
398	3561	5365
399	3573	5359
400	3582	5351
401	3591	5342
402	3600	5333
403	3608	5323
404	3617	5315
405	3626	5305
406	3635	5296
407	3643	5286
408	3652	5278
409	3661	5268
410	3672	5262
411	3681	5253
412	3689	5243
413	3698	5234
414	3706	5224
415	3717	5218
416	3726	5209
417	3735	5200
418	3743	5190
419	3753	5183
420	3761	5173
421	3769	5163
422	3779	5155
423	3788	5146
424	3797	5137
425	3805	5127
426	3814	5118
427	3822	5108
428	3832	5100
429	3840	5090
430	3849	5081
431	3857	5071
432	3865	5061
433	3874	5052
434	3882	5042
435	3891	5033
436	3900	5024
437	3908	5015
438	3916	5005
439	3925	4995
440	3933	4986
441	3943	4977
442	3951	4968
443	3960	4959
444	3967	4948
445	3977	4940
446	3987	4932
447	3996	4924
448	4006	4916
449	4018	4911
450	4029	4905
451	4041	4899
452	4051	4891
453	4061	4884
454	4073	4878
455	4084	4872
456	4095	4866
457	4105	4858
458	4116	4851
459	4126	4844
460	4137	4837
461	4147	4829
462	4158	4823
463	4168	4815
464	4178	4807
465	4188	4799
466	4197	4790
467	4207	4783
468	4217	4774
469	4227	4766
470	4237	4759
471	4246	4750
472	4256	4742
473	4266	4734
474	4275	4725
475	4285	4717
476	4294	4709
477	4304	4701
478	4317	4696
479	4328	4688
480	4338	4680
481	4347	4672
482	4357	4664
483	4371	4660
484	4382	4653
485	4396	4650
486	4407	4642
487	4416	4633
488	4425	4624
489	4435	4616
490	4443	4606
491	4453	4597
492	4461	4588
493	4470	4579
494	4478	4569
495	4491	4563
496	4500	4555
497	4510	4546
498	4520	4538
499	4528	4528
500	4536	4518
501	4545	4509
502	4554	4500
503	4564	4492
504	4574	4483
505	4583	4474
506	4591	4465
507	4601	4456
508	4610	4447
509	4619	4438
510	4627	4428
511	4635	4418
512	4644	4409
513	4654	4400
514	4663	4391
515	4673	4383
516	4683	4375
517	4691	4365
518	4701	4356
519	4711	4348
520	4719	4339
521	4729	4330
522	4737	4320
523	4749	4314
524	4758	4305
525	4767	4296
526	4777	4287
527	4787	4279
528	4798	4272
529	4807	4262
530	4818	4255
531	4830	4249
532	4842	4242
533	4850	4233
534	4861	4225
535	4869	4215
536	4879	4207
537	4889	4198
538	4898	4189
539	4909	4181
540	4917	4172
541	4926	4163
542	4934	4153
543	4944	4144
544	4951	4134
545	4960	4124
546	4968	4114
547	4977	4105
548	4986	4096
549	4994	4086
550	5002	4076
551	5011	4067
552	5020	4058
553	5028	4048
554	5038	4039
555	5046	4029
556	5055	4020
557	5063	4010
558	5073	4002
559	5081	3992
560	5090	3983
561	5099	3974
562	5109	3965
563	5118	3956
564	5126	3946
565	5134	3937
566	5143	3927
567	5152	3918
568	5160	3909
569	5170	3900
570	5179	3891
571	5188	3882
572	5197	3873
573	5206	3863
574	5214	3854
575	5225	3846
576	5235	3838
577	5244	3829
578	5254	3820
579	5264	3811
580	5282	3809
581	5291	3800
582	5301	3791
583	5310	3782
584	5320	3774
585	5329	3764
586	5338	3755
587	5346	3746
588	5356	3737
589	5365	3728
590	5374	3719
591	5383	3710
592	5395	3702
593	5404	3693
594	5412	3684
595	5421	3674
596	5429	3665
