iter	Passed	Remaining
0	18	12176
1	37	12194
2	56	12120
3	76	12372
4	94	12224
5	113	12130
6	131	12049
7	149	11963
8	168	11992
9	190	12175
10	210	12205
11	229	12195
12	247	12137
13	267	12146
14	286	12122
15	305	12117
16	325	12101
17	342	12026
18	361	11989
19	378	11918
20	395	11838
21	412	11779
22	429	11713
23	447	11679
24	464	11615
25	482	11581
26	500	11540
27	518	11518
28	537	11505
29	556	11492
30	574	11464
31	593	11462
32	611	11437
33	629	11412
34	648	11386
35	666	11361
36	683	11331
37	701	11300
38	719	11271
39	737	11241
40	756	11235
41	775	11220
42	792	11188
43	810	11159
44	827	11129
45	845	11103
46	862	11069
47	879	11032
48	896	11001
49	915	10985
50	932	10956
51	950	10934
52	969	10921
53	987	10897
54	1004	10869
55	1022	10845
56	1042	10850
57	1060	10820
58	1077	10794
59	1098	10802
60	1116	10780
61	1133	10754
62	1151	10729
63	1171	10730
64	1191	10720
65	1209	10702
66	1226	10672
67	1243	10641
68	1260	10611
69	1278	10592
70	1297	10578
71	1315	10563
72	1335	10557
73	1354	10544
74	1373	10527
75	1391	10509
76	1410	10493
77	1428	10473
78	1447	10465
79	1465	10442
80	1485	10433
81	1503	10412
82	1523	10405
83	1541	10386
84	1559	10362
85	1576	10341
86	1595	10326
87	1613	10306
88	1631	10283
89	1650	10272
90	1670	10262
91	1689	10248
92	1707	10228
93	1725	10207
94	1743	10187
95	1762	10168
96	1780	10148
97	1797	10126
98	1815	10104
99	1833	10085
100	1851	10065
101	1869	10045
102	1887	10024
103	1905	10003
104	1925	9991
105	1943	9975
106	1962	9958
107	1980	9938
108	1999	9924
109	2017	9903
110	2037	9892
111	2055	9871
112	2072	9848
113	2092	9840
114	2111	9823
115	2129	9805
116	2149	9790
117	2170	9786
118	2191	9777
119	2208	9755
120	2225	9730
121	2242	9704
122	2259	9679
123	2276	9655
124	2292	9628
125	2309	9605
126	2338	9632
127	2368	9658
128	2391	9660
129	2411	9645
130	2432	9636
131	2451	9620
132	2469	9598
133	2489	9587
134	2508	9571
135	2529	9559
136	2551	9555
137	2571	9542
138	2591	9526
139	2609	9507
140	2628	9487
141	2646	9466
142	2663	9444
143	2682	9424
144	2699	9401
145	2718	9384
146	2748	9403
147	2767	9387
148	2786	9369
149	2805	9352
150	2823	9331
151	2841	9310
152	2861	9295
153	2880	9277
154	2898	9255
155	2918	9241
156	2940	9232
157	2958	9212
158	2979	9199
159	2997	9179
160	3016	9160
161	3033	9139
162	3054	9125
163	3074	9110
164	3094	9097
165	3115	9083
166	3133	9061
167	3150	9040
168	3173	9030
169	3192	9012
170	3210	8992
171	3228	8971
172	3245	8949
173	3263	8927
174	3281	8907
175	3300	8887
176	3317	8865
177	3335	8845
178	3356	8832
179	3374	8811
180	3393	8793
181	3413	8777
182	3432	8758
183	3451	8740
184	3469	8720
185	3487	8701
186	3505	8680
187	3523	8659
188	3542	8641
189	3562	8624
190	3579	8602
191	3597	8581
192	3615	8560
193	3632	8538
194	3650	8516
195	3667	8495
196	3684	8473
197	3702	8452
198	3720	8430
199	3737	8409
200	3755	8388
201	3786	8396
202	3810	8390
203	3831	8377
204	3851	8361
205	3873	8349
206	3899	8344
207	3921	8332
208	3943	8320
209	3969	8317
210	3990	8302
